"subject_name","subject_key","role","research_status","source_page_url","original_media_url","creator","source_date","width_px","height_px","license_id","license_url","identity_evidence","crop_suitability","review_notes","fallback_asset_id","reviewed_utc"
"Akhlaq Ahmed","akhlaq-ahmed","singer","no_verified_free_portrait","","","","","","","","","confirmed by category and biographical match Exact Commons, Wikidata, Wikipedia-page-image, Flickr, and web/image searches found no portrait with verified PD, CC0, CC BY, or compatible CC BY-SA rights","No usable portrait located","Research identity label normalized from ""Akhlaq Ahmed - Pakistani playback singer, 1946-1999"" to ""Akhlaq Ahmed""; keep the identity evidence when reviewing namesakes. NO ASSET Do not substitute similarly named people or an unlicensed press/tribute image","category-music-microphone-v3","2026-09-19"
"Akshay Kumar","akshay-kumar","actor","approved","https://commons.wikimedia.org/wiki/File:Akshay_Kumar_in_2022.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cf/Akshay_Kumar_in_2022.jpg","Bollywood Hungama","2022-03-13","585","878","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Exact actor is named in the file title, description, and Akshay Kumar Commons results; spelling correction is verified.","Solo vertical red-carpet portrait; clean head-and-torso crop.","Reviewed provider spelling or alias: ""AKSHEY KUMAR"" maps exactly to ""Akshay Kumar"". Bollywood Hungama VRT-licensed event photo. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Al Pacino","al-pacino","actor","approved","https://commons.wikimedia.org/wiki/File:Al_Pacino_in_2016.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fa/Al_Pacino_in_2016.jpg","Embajada de EEUU en la Argentina (photographer metadata: Jorge Gomez)","2016-10-31 20:11","1441","1811","CC-BY-2.0","https://creativecommons.org/licenses/by/2.0/","Exact subject; close 2016 portrait extracted from a U.S. Embassy Argentina photograph. Suitable for a centered head-and-shoulders crop.","Exact subject; close 2016 portrait extracted from a U.S. Embassy Argentina photograph. Suitable for a centered head-and-shoulders crop.","Attribution, license link, and modification notice required. Preserve both the page's institutional author and named photographer metadata in final credits. Source license statement: CC BY 2.0.","category-movie-clapperboard-v3","2026-09-19"
"Alfred Hitchcock","alfred-hitchcock","actor","approved","https://commons.wikimedia.org/wiki/File:Alfred_Hitchcock_NYWTS.jpg","https://upload.wikimedia.org/wikipedia/commons/6/63/Alfred_Hitchcock_NYWTS.jpg","Fred Palumbo / New York World-Telegram & Sun","1956","2111","2728","PD-US","https://commons.wikimedia.org/wiki/File:Alfred_Hitchcock_NYWTS.jpg#Licensing","Exact Alfred Hitchcock head-and-shoulders portrait; high-resolution, clean profile and ideal for an icon crop.","Exact Alfred Hitchcock head-and-shoulders portrait; high-resolution, clean profile and ideal for an icon crop.","Library of Congress source cph.3c21483. Commons states this staff work-for-hire is public domain under the collection's instrument of gift and has no known copyright restrictions. Source license statement: Public domain (PD New York World-Telegram & Sun).","category-movie-clapperboard-v3","2026-09-19"
"Ali Azmat","ali-azmat","singer","approved","https://commons.wikimedia.org/wiki/File:Ali_in_Orange.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Ali_in_Orange.jpg","Paranda","","288","301","PD-Self","https://commons.wikimedia.org/wiki/File:Ali_in_Orange.jpg#Licensing","confirmed Uploader-photographer's own-work declaration and worldwide public-domain release; exact identity is linked from the file to Ali Azmat","Very small and soft; usable only for a compact icon after careful upscale and crop","APPROVED FOR PORTRAIT DESIGN Public-domain credit is recommended; do not confuse with the newer unreviewed Flickr candidate File:Ali Azmat 2008.jpg Source license statement: Public domain - PD-self.","category-music-microphone-v3","2026-09-19"
"Ali Zafar","ali-zafar","singer","approved","https://commons.wikimedia.org/wiki/File:Ali_zafar.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Ali_zafar.jpg","Bollywood Hungama","","600","896","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","resolved from the repository fallback person-fallback-ali-zafar; subject text is a typo Bollywood Hungama permission confirmed on Commons; page records VRT ticket 2008030310010794 and a 2010 reviewer confirmation","Adequate vertical red-carpet portrait; moderate resolution","Reviewed provider spelling or alias: ""ALI FAZAR"" maps exactly to ""Ali Zafar"". APPROVED FOR PORTRAIT DESIGN AFTER USING CANONICAL LABEL ALI ZAFAR Use the canonical artist name Ali Zafar in metadata; retain attribution, license link, and modification notice Upstream source: http://www.bollywoodhungama.com/stills/partiesnevents/Press_conference_of_film_%27Tere_Bin_Laden%27/still110146.html. Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"Alisha Chinai","alisha-chinai","singer","approved","https://commons.wikimedia.org/wiki/File:Alisha_Chinai_2009_-_still_64293_crop.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5a/Alisha_Chinai_2009_-_still_64293_crop.jpg","Bollywood Hungama","","512","534","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0","Indian singer Alisha Chinai","Tight solo portrait with a clear face and adequate 512px source width.","No correction needed Exact subject is identified by the Commons file title/description and visually matches the named singer. Attribute author/source, retain license link, and identify background removal/cropping as modifications. Copyright license does not waive personality/publicity rights; use as factual EPG identification, not endorsement, and review local requirements before commercial release. not required; neutral microphone remains safe fallback Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"Alka Yagnik","alka-yagnik","singer","approved","https://commons.wikimedia.org/wiki/File:Alka_Yagnik.jpg","https://upload.wikimedia.org/wikipedia/commons/1/12/Alka_Yagnik.jpg","Bollywood Hungama","","600","899","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0","Alka Yagnik at the 2008 audio release for Yuvraaj .","Solo event portrait; recognizable face and adequate source detail for a guide icon.","No correction needed Exact subject is identified by the Commons file title/description and visually matches the named singer. Attribute author/source, retain license link, and identify background removal/cropping as modifications. Copyright license does not waive personality/publicity rights; use as factual EPG identification, not endorsement, and review local requirements before commercial release. not required; neutral microphone remains safe fallback Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"Aman Hayer","aman-hayer","singer","no_verified_free_portrait","","","","","","","","","No exact freely reusable portrait located.","No exact freely reusable portrait located.","Exact-name Commons bitmap search and English Wikipedia/Wikidata image check on 2026-09-19 found no acceptable file.","category-music-microphone-v3","2026-09-19"
"Amar","amar","singer","no_verified_free_portrait","","","","","","","","","Provider name is only 'AMAR', so the intended singer cannot be resolved safely.","Provider name is only 'AMAR', so the intended singer cannot be resolved safely.","Strictly excluded as ambiguous. Results for Amar Noorie belong to a separate canonical subject and were not reused for this row.","category-music-microphone-v3","2026-09-19"
"Amar Noorie","amar-noorie","singer","conditional","https://commons.wikimedia.org/wiki/File:Amar_noorie.jpg","https://upload.wikimedia.org/wikipedia/commons/3/30/Amar_noorie.jpg","Tejasbirsingh6","2006-11-02T00:04:27","4404","3182","CC-BY-SA-4.0","https://creativecommons.org/licenses/by-sa/4.0/","High-resolution exact identity, but it is a family/group photograph with two children rather than an isolated portrait.","High-resolution exact identity, but it is a family/group photograph with two children rather than an isolated portrait.","Uploader claims own work. Any crop or background removal must be disclosed and released under CC BY-SA 4.0. Source license statement: CC BY-SA 4.0.","category-music-microphone-v3","2026-09-19"
"Ambareesh","ambareesh","actor","conditional","https://commons.wikimedia.org/wiki/File:Ambarish.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b0/Ambarish.jpg","Xyzgirl","2022-12-25","332","552","CC0-1.0","https://creativecommons.org/publicdomain/zero/1.0/","The file is categorized and used as the exact Kannada actor/politician Ambareesh, but its origin needs clarification before icon production.","The file is categorized and used as the exact Kannada actor/politician Ambareesh, but its origin needs clarification before icon production.","Do not deploy yet: Ambareesh died in 2018, while this file claims own work dated 2022. A separate verified government photograph exists under GODL-India, but that license is outside this task's strict PD/CC allowlist. Source license statement: CC0 1.0 (tagged, provenance unresolved).","category-movie-clapperboard-v3","2026-09-19"
"Amitabh Bachchan","amitabh-bachchan","actor","approved","https://commons.wikimedia.org/wiki/File:Indian_actor_Amitabh_Bachchan.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c6/Indian_actor_Amitabh_Bachchan.jpg","Shrinivas Kulkarni; derivative crop by Junior Jumper","2018-11-11","1194","1655","CC-BY-SA-4.0","https://creativecommons.org/licenses/by-sa/4.0/","Description explicitly identifies Amitabh Bachchan; linked parent file documents the same subject.","High-resolution vertical derivative already centered on the actor; excellent icon source.","Reviewed provider spelling or alias: ""AMITABH BACHAN"" maps exactly to ""Amitabh Bachchan"". Credit the original photographer and crop author; mark further cutout work as an adaptation under CC BY-SA 4.0. Source license statement: CC BY-SA 4.0. An approved cutout for this exact subject already exists in the production icon catalog; preserve it unless a replacement is reviewed intentionally.","category-movie-clapperboard-v3","2026-09-19"
"Amrish Puri","amrish-puri","actor","approved","https://commons.wikimedia.org/wiki/File:Amrish_Puri.jpg","https://upload.wikimedia.org/wikipedia/commons/7/77/Amrish_Puri.jpg","Bollywood Hungama","2003-04","387","516","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Description identifies Amrish Puri at the 2003 premiere of The Hero: Love Story of a Spy.","Vertical close portrait; adequate for face-and-shoulders use at guide size.","This is an event photo, not the separately listed film still. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Amrit Maan","amrit-maan","singer","approved","https://commons.wikimedia.org/wiki/File:Amrit_Maan-_41365565990_%28cropped%29.jpg","https://upload.wikimedia.org/wikipedia/commons/7/72/Amrit_Maan-_41365565990_%28cropped%29.jpg","Andrew Scheer","2018-07-01T18:24:54","2559","2460","CC0-1.0","https://creativecommons.org/publicdomain/zero/1.0/","Clear, high-resolution event portrait explicitly naming Amrit Maan.","Clear, high-resolution event portrait explicitly naming Amrit Maan.","Extracted Commons crop from Andrew Scheer's event photograph; Commons marks the file CC0. Source license statement: CC0 1.0.","category-music-microphone-v3","2026-09-19"
"Angrej Ali","angrej-ali","singer","no_verified_free_portrait","","","","","","","","","No exact freely reusable portrait located.","No exact freely reusable portrait located.","Exact-name Commons bitmap search and English Wikipedia/Wikidata image check on 2026-09-19 found no acceptable file.","category-music-microphone-v3","2026-09-19"
"Anil Kapoor","anil-kapoor","actor","approved","https://commons.wikimedia.org/wiki/File:Anil_Kapoor_snapped_at_Race_3_interviews_at_Sun_N_Sand_hotel_in_Juhu.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a9/Anil_Kapoor_snapped_at_Race_3_interviews_at_Sun_N_Sand_hotel_in_Juhu.jpg","Bollywood Hungama","2018-06-19","585","441","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","File description explicitly identifies Anil Kapoor at a Race 3 interview event.","Landscape event portrait with sufficient face resolution; crop tightly around head and upper torso.","Bollywood Hungama VRT-licensed event photo. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Anupam Kher","anupam-kher","actor","approved","https://commons.wikimedia.org/wiki/File:Anupam_Kher_(40740364673)_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/7/73/Anupam_Kher_%2840740364673%29_%28cropped%29.jpg","Greg2600","2019-04-18","1427","1686","CC-BY-SA-2.0","https://creativecommons.org/licenses/by-sa/2.0/","The photographer's description and exact-name file identify actor Anupam Kher.","High-resolution, already-cropped single-person portrait; excellent extraction source.","ShareAlike applies to the cutout/adaptation. Source license statement: CC BY-SA 2.0.","category-movie-clapperboard-v3","2026-09-19"
"Anuradha Paudwal","anuradha-paudwal","singer","conditional","https://commons.wikimedia.org/wiki/File:%22Yeh_Ishq_Aur_Yeh_Barish%22_Song_Recording_Time_Sarbarish_Majumder_%26_Anuradha_Paudwal.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c8/%22Yeh_Ishq_Aur_Yeh_Barish%22_Song_Recording_Time_Sarbarish_Majumder_%26_Anuradha_Paudwal.jpg","Sarbarish Majumder","","1139","1257","CC0-1.0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","""Yeh Ishq Aur Yeh Barish"" Song Recording Time Sarbarish Majumder & Anuradha Paudwal","Licensed two-person studio photograph; Anuradha is seated at lower right and must be carefully isolated.","Reviewed provider spelling or alias: ""ANURADHA PAWDWAL"" maps exactly to ""Anuradha Paudwal"". Match only as reviewed alias: ANURADHA PAWDWAL → Anuradha Paudwal Conditional on a manual crop test at 48px; do not include the other person. Use the neutral microphone fallback if the face is not recognizable. No copyright attribution required by the license, but preserve source and author provenance in the project catalog. Copyright license does not waive personality/publicity rights; use as factual EPG identification, not endorsement, and review local requirements before commercial release. neutral microphone icon Source license statement: CC0.","category-music-microphone-v3","2026-09-19"
"Arif Lohar","arif-lohar","singer","conditional","https://commons.wikimedia.org/wiki/File:Arif_Lohar_2021.png","https://commons.wikimedia.org/wiki/Special:Redirect/file/Arif_Lohar_2021.png","PILAC TV","","720","960","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","confirmed Commons page explicitly carries an unresolved LicenseReview request","Portrait-oriented video frame; adequate dimensions but likely compressed","HOLD - DO NOT USE YET Require a completed YouTube license review or archived source showing the compatible license on the cited video Upstream source: https://youtube.com/watch?v=T7vdYmyC7Uk&t=46s. Source license statement: CC BY 3.0 claimed from YouTube.","category-music-microphone-v3","2026-09-19"
"Arijit Singh","arijit-singh","singer","approved","https://commons.wikimedia.org/wiki/File:Arijit_Singh_performance_at_Chandigarh_2025.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b7/Arijit_Singh_performance_at_Chandigarh_2025.jpg","Monit2004","","957","960","CC-BY-4.0","https://creativecommons.org/licenses/by/4.0","Singh's Performance at Chandigarh on 2025.","High-quality live-performance portrait with clear face, turban, and instrument silhouette.","Reviewed provider spelling or alias: ""ARJIT SINGH"" maps exactly to ""Arijit Singh"". Match only as reviewed alias: ARJIT SINGH → Arijit Singh Exact subject is identified by the Commons file title/description and visually matches the named singer. Attribute author/source, retain license link, and identify background removal/cropping as modifications. Copyright license does not waive personality/publicity rights; use as factual EPG identification, not endorsement, and review local requirements before commercial release. not required; neutral microphone remains safe fallback Source license statement: CC BY 4.0.","category-music-microphone-v3","2026-09-19"
"Arnold Schwarzenegger","arnold-schwarzenegger","actor","approved","https://commons.wikimedia.org/wiki/File:Arnold_Schwarzenegger.JPG","https://upload.wikimedia.org/wikipedia/commons/a/ad/Arnold_Schwarzenegger.JPG","Photographer's Mate 3rd Class Stefanie Broughton, U.S. Navy","2005-05-29","626","766","PD-USGov","https://commons.wikimedia.org/wiki/Template:PD-USGov-Military-Navy","Exact subject; already a clean head portrait with enough resolution for a small guide icon.","Exact subject; already a clean head portrait with enough resolution for a small guide icon.","Commons identifies the photograph as a U.S. Navy employee's official-duty work and public domain in the United States, and applies the Public Domain Mark 1.0. Retain source/creator provenance even though attribution is not a copyright condition. Source license statement: Public domain — U.S. Navy official-duty work (PDM 1.0).","category-movie-clapperboard-v3","2026-09-19"
"Asha Bhosle","asha-bhosle","singer","approved","https://commons.wikimedia.org/wiki/File:Asha_Bhosle_at_Bhubaneswar.jpg","https://upload.wikimedia.org/wikipedia/commons/6/67/Asha_Bhosle_at_Bhubaneswar.jpg","Krupasindhu Muduli","","1920","2898","CC-BY-SA-3.0","https://creativecommons.org/licenses/by-sa/3.0","This media file is uploaded with Odia loves Wikipedia","Large, clear seated portrait; straightforward subject isolation.","No correction needed Exact subject is identified by the Commons file title/description and visually matches the named singer. Attribute author/source; release distributed cutout adaptation under the same or compatible ShareAlike license; retain license link and change notice. Copyright license does not waive personality/publicity rights; use as factual EPG identification, not endorsement, and review local requirements before commercial release. not required; neutral microphone remains safe fallback Source license statement: CC BY-SA 3.0. An approved cutout for this exact subject already exists in the production icon catalog; preserve it unless a replacement is reviewed intentionally.","category-music-microphone-v3","2026-09-19"
"Atif Aslam","atif-aslam","singer","approved","https://commons.wikimedia.org/wiki/File:Atif_Aslam_in_black_coat.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Atif_Aslam_in_black_coat.jpg","Zindaaab","","800","927","CC-BY-SA-4.0","https://creativecommons.org/licenses/by-sa/4.0/","confirmed Commons self-published own-work declaration; exact singer named on the file page","Concert portrait with adequate resolution and a dark background; crop should remain readable in a small icon","APPROVED FOR PORTRAIT DESIGN Keep author credit, source, license link, modification notice, and compatible share-alike terms Source license statement: CC BY-SA 4.0.","category-music-microphone-v3","2026-09-19"
"Ayushmann Khurrana","ayushmann-khurrana","actor","approved","https://commons.wikimedia.org/wiki/File:Ayushmann_Khurrana_at_Grazia_Millennial_Awards,_2022.jpg","https://upload.wikimedia.org/wikipedia/commons/0/0c/Ayushmann_Khurrana_at_Grazia_Millennial_Awards%2C_2022.jpg","Bollywood Hungama","2022-03-31","585","879","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Exact actor and corrected spelling are explicit in the file description.","Solo vertical awards portrait; strong head-and-torso crop.","Reviewed provider spelling or alias: ""AYUSHMAN KHURRANA"" maps exactly to ""Ayushmann Khurrana"". Bollywood Hungama VRT-licensed event photo. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"B Praak","b-praak","singer","approved","https://commons.wikimedia.org/wiki/File:B_Praak.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c7/B_Praak.jpg","ABP Sanjha","2019-12-24","903","580","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Clear close interview still with exact identity; adequate for a small guide icon.","Clear close interview still with exact identity; adequate for a small guide icon.","YouTube-origin still; Commons records a completed license review. Attribution and change disclosure are required. Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"Baba Sehgal","baba-sehgal","singer","approved","https://commons.wikimedia.org/wiki/File:Baba_Sehgal_shoots_for_his_album_%27Mumbai_City%27_02.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1c/Baba_Sehgal_shoots_for_his_album_%27Mumbai_City%27_02.jpg","Bollywood Hungama","2012-06-18","585","881","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Clean, direct portrait; modest width but sufficient for a small icon.","Clean, direct portrait; modest width but sufficient for a small icon.","Bollywood Hungama VRT permission is confirmed on Commons. Credit Bollywood Hungama, link the source/file page, and disclose changes. Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"Babbal Rai","babbal-rai","singer","no_verified_free_portrait","","","","","","","","","No exact freely reusable portrait located.","No exact freely reusable portrait located.","Exact-name Commons bitmap search and English Wikipedia/Wikidata image check on 2026-09-19 found no acceptable file.","category-music-microphone-v3","2026-09-19"
"Babbu Maan","babbu-maan","singer","conditional","https://commons.wikimedia.org/wiki/File:Babbu_Maan_Baarish_Ke_Bahaane.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d0/Babbu_Maan_Baarish_Ke_Bahaane.jpg","Bollywood Hungama","2019-04-02","585","934","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Exact subject is centered, but this is a group/event photograph with other attendees and only 585 px width.","Exact subject is centered, but this is a group/event photograph with other attendees and only 585 px width.","Bollywood Hungama VRT permission is confirmed on Commons. A separate 175 x 248 Commons extraction is too small, so this larger source is retained conditionally. Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"Baljit Malwa","baljit-malwa","singer","conditional","https://commons.wikimedia.org/wiki/File:Baljit_Malwa.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7d/Baljit_Malwa.jpg","Moneygrovermusic","2013-09-01","525","784","CC-BY-SA-4.0","https://creativecommons.org/licenses/by-sa/4.0/","Exact identity and portrait composition, but only 525 px wide.","Exact identity and portrait composition, but only 525 px wide.","Self-published Commons upload. Retain attribution, share-alike, and modification disclosure; visually inspect before production. Source license statement: CC BY-SA 4.0.","category-music-microphone-v3","2026-09-19"
"Balkar Sidhu","balkar-sidhu","singer","no_verified_free_portrait","","","","","","","","","No exact freely reusable portrait located.","No exact freely reusable portrait located.","Exact-name Commons bitmap search and English Wikipedia/Wikidata image check on 2026-09-19 found no acceptable file.","category-music-microphone-v3","2026-09-19"
"Bharat Bhushan","bharat-bhushan","actor","no_verified_free_portrait","","","N/A","N/A","","","","","The same-name Commons category is for Telangana photographer Bharat Bhushan, not the Hindi-film actor; Google/web and Commons searches found no exact licensed portrait.","No safe crop exists from a verified compatible source; use the neutral actor/movie fallback.","Research identity label normalized from ""Bharat Bhushan (Hindi-film actor, 1920-1992)"" to ""Bharat Bhushan""; keep the identity evidence when reviewing namesakes. Rejected the file Gbharatbhushan.jpg and its category because they depict a different person. Also rejected unlicensed publicity and film-still results. Source license statement: N/A.","category-movie-clapperboard-v3","2026-09-19"
